15:08:00.523 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
15:08:00.580 [main] INFO  c.c.e.m.MicroservicesSrlJavaClassesApplication - Starting MicroservicesSrlJavaClassesApplication on Santiago with PID 8500 (C:\cursos\java\microservicessrl\target\classes started by SANTIAGO in C:\cursos\java\microservicessrl)
15:08:00.582 [main] INFO  c.c.e.m.MicroservicesSrlJavaClassesApplication - No active profile set, falling back to default profiles: default
15:08:05.120 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
15:08:05.152 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
15:08:05.154 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15:08:05.154 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
15:08:05.494 [main] INFO  o.a.c.c.C.[.[.[/escuelait/api/v1/microservices] - Initializing Spring embedded WebApplicationContext
15:08:05.495 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4725 ms
15:08:06.757 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
15:08:07.032 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
15:08:07.331 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
15:08:07.415 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/escuelait/api/v1/microservices'
15:08:07.417 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
15:08:07.483 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
15:08:07.608 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
15:08:08.414 [main] INFO  c.c.e.m.MicroservicesSrlJavaClassesApplication - Started MicroservicesSrlJavaClassesApplication in 8.772 seconds (JVM running for 10.187)
